make,model,avg_price
Chrysler,Prowler,44625.0
Plymouth,Prowler,28543.666666666668
Chrysler,PT Cruiser,19908.125
Nissan,Pulsar,2000.0
Audi,Q3,36292.857142857145
Infiniti,Q40,34750.0
Infiniti,Q45,57125.0
Infiniti,Q50,43130.555555555555
Audi,Q5,48255.0
Infiniti,Q60 Convertible,54683.333333333336
Infiniti,Q60 Coupe,45647.22222222222
Infiniti,Q70,57760.86956521739
Audi,Q7,57373.333333333336
Maserati,Quattroporte,119415.38461538461
Nissan,Quest,33443.333333333336
Infiniti,QX4,35050.0
Infiniti,QX50,36025.0
Infiniti,QX56,58150.0
Infiniti,QX60,45890.0
Infiniti,QX70,46633.333333333336
Infiniti,QX80,68078.57142857143
Infiniti,QX,62225.0
Mercedes-Benz,R-Class,51435.0
Volkswagen,R32,31045.0
Audi,R8,158819.6
Volkswagen,Rabbit,17080.909090909092
Mitsubishi,Raider,24838.0
Buick,Rainier,32945.833333333336
GMC,Rally Wagon,2000.0
Dodge,RAM 150,2002.275
Dodge,RAM 250,2022.16
Dodge,Ram 50 Pickup,2000.0
Dodge,Ram Cargo,20806.0
Dodge,Ram Pickup 1500,30622.822580645163
Dodge,Ram Van,2200.5833333333335
Dodge,Ram Wagon,14141.6
Dodge,Ramcharger,2000.0
Land Rover,Range Rover Evoque,50522.32142857143
Land Rover,Range Rover Sport,80022.70833333333
Land Rover,Range Rover,118229.57142857143
Ford,Ranger,21340.135135135137
Aston Martin,Rapide S,202748.33333333334
Aston Martin,Rapide,210122.5
Toyota,RAV4 EV,49800.0
Toyota,RAV4 Hybrid,31445.0
Toyota,RAV4,28789.166666666668
Lexus,RC 200t,40075.0
Lexus,RC 300,42690.0
Lexus,RC 350,43965.833333333336
Lexus,RC F,63123.333333333336
Acura,RDX,39232.5
Buick,Reatta,2000.0
Buick,Regal,31872.058823529413
Oldsmobile,Regency,2042.0
Buick,Rendezvous,27127.5
Suzuki,Reno,14647.0
Lamborghini,Reventon,1500000.0
Honda,Ridgeline,34248.69565217391
Kia,Rio,16810.238095238095
Buick,Riviera,2133.5
Acura,RL,51340.0
Acura,RLX,56491.666666666664
Buick,Roadmaster,2044.6666666666667
Nissan,Rogue Select,20825.0
Nissan,Rogue,26121.0
Kia,Rondo,18948.333333333332
Volkswagen,Routan,35601.25
Audi,RS 4,71603.33333333333
Audi,RS 5,74066.66666666667
Audi,RS 6,82700.0
Audi,RS 7,108700.0
Acura,RSX,21689.0
Lexus,RX 300,35228.333333333336
Lexus,RX 330,36590.0
Lexus,RX 350,45752.27272727273
Lexus,RX 400h,43340.0
Lexus,RX 450h,52726.42857142857
Mazda,RX-7,8169.666666666667
Mazda,RX-8,29727.647058823528
Chevrolet,S-10 Blazer,2000.0
Chevrolet,S-10,19452.02857142857
GMC,S-15 Jimmy,2000.0
GMC,S-15,2000.0
Mercedes-Benz,S-Class,157420.83333333334
Honda,S2000,36019.28571428572
Audi,S3,45091.666666666664
Volvo,S40,30287.5
Audi,S4,52150.0
Audi,S5,58183.333333333336
Volvo,S60 Cross Country,44200.0
Volvo,S60,40721.42857142857
Audi,S6,73340.0
Volvo,S70,2317.9285714285716
Audi,S7,82050.0
Volvo,S80,43365.625
Audi,S8,115150.0
Volvo,S90,41773.8
GMC,Safari Cargo,23791.666666666668
GMC,Safari,25105.0
Suzuki,Samurai,2000.0
Hyundai,Santa Fe Sport,30525.0
Hyundai,Santa Fe,35030.555555555555
GMC,Savana Cargo,31863.214285714286
GMC,Savana,34804.117647058825
Lexus,SC 300,3633.3333333333335
Lexus,SC 400,3959.0
Lexus,SC 430,67188.33333333333
Hyundai,Scoupe,2000.0
Chrysler,Sebring,25975.75
Kia,Sedona,32976.666666666664
Nissan,Sentra,19146.842105263157
Kia,Sephia,7066.25
Toyota,Sequoia,55687.77777777778
Cadillac,Seville,47452.8
Dodge,Shadow,2000.0
Ford,Shelby GT350,55711.666666666664
Ford,Shelby GT500,55486.0
Suzuki,Sidekick,2022.2173913043478
Toyota,Sienna,37672.8431372549
GMC,Sierra 1500 Classic,27964.79591836735
GMC,Sierra 1500 Hybrid,45193.333333333336
GMC,Sierra 1500,40312.11111111111
GMC,Sierra 1500HD,33126.666666666664
GMC,Sierra C3,38370.0
GMC,Sierra Classic 1500,4567.0
Mitsubishi,Sigma,2000.0
Oldsmobile,Silhouette,32803.666666666664
Rolls-Royce,Silver Seraph,224945.0
Chevrolet,Silverado 1500 Classic,27336.73469387755
Chevrolet,Silverado 1500 Hybrid,44802.5
Chevrolet,Silverado 1500,38876.217948717946
Cadillac,Sixty Special,2000.0
Buick,Skylark,2000.0
